ID_Origen,ID_Destino,Costo,Via
A_1,A_2,624,Via Principal
A_2,A_3,85,Via Principal
A_2,A_4,866,Via Principal
A_3,A_5,802,Via Principal
A_5,A_6,475,Via Principal
A_6,A_7,927,Via Principal
A_1,A_8,232,Via Principal
A_4,A_9,682,Via Principal
A_3,A_10,588,Via Principal
A_6,A_11,970,Via Principal
A_3,A_12,958,Via Principal
A_4,A_13,538,Via Principal
A_3,A_14,294,Via Principal
A_12,A_15,936,Via Principal
A_2,A_16,999,Via Principal
A_7,A_17,850,Via Principal
A_9,A_18,692,Via Principal
A_9,A_19,743,Via Principal
A_1,A_20,791,Via Principal
A_10,A_21,747,Via Principal
A_4,A_22,906,Via Principal
A_13,A_23,999,Via Principal
A_12,A_24,483,Via Principal
A_12,A_25,37,Via Principal
A_24,A_26,1065,Via Principal
A_25,A_27,900,Via Principal
A_20,A_28,1241,Via Principal
A_10,A_29,673,Via Principal
A_17,A_30,769,Via Principal
A_5,A_31,702,Via Principal
A_27,A_32,1378,Via Principal
A_30,A_33,454,Via Principal
A_8,A_34,416,Via Principal
A_14,A_35,485,Via Principal
A_17,A_36,875,Via Principal
A_22,A_37,982,Via Principal
A_26,A_38,230,Via Principal
A_37,A_39,684,Via Principal
A_4,A_40,914,Via Principal
A_23,A_41,1112,Via Principal
A_18,A_42,460,Via Principal
A_16,A_43,571,Via Principal
A_10,A_44,635,Via Principal
A_27,A_45,682,Via Principal
A_5,A_46,407,Via Principal
A_5,A_47,317,Via Principal
A_2,A_48,1135,Via Principal
A_19,A_49,117,Via Principal
A_32,A_50,801,Via Principal
A_2,A_51,948,Via Principal
A_8,A_52,843,Via Principal
A_40,A_53,413,Via Principal
A_50,A_54,1027,Via Principal
A_1,A_55,426,Via Principal
A_41,A_56,563,Via Principal
A_43,A_57,801,Via Principal
A_17,A_58,943,Via Principal
A_47,A_59,279,Via Principal
A_41,A_60,347,Via Principal
A_3,A_61,700,Via Principal
A_7,A_62,297,Via Principal
A_45,A_63,908,Via Principal
A_12,A_64,629,Via Principal
A_42,A_65,733,Via Principal
A_46,A_66,734,Via Principal
A_54,A_67,909,Via Principal
A_52,A_68,588,Via Principal
A_44,A_69,273,Via Principal
A_39,A_70,1285,Via Principal
A_69,A_71,935,Via Principal
A_27,A_72,462,Via Principal
