ID_Origen,ID_Destino,Costo,Via
A_1,A_2,158,Via Principal
A_2,A_3,282,Via Principal
A_2,A_4,99,Via Principal
A_3,A_5,350,Via Principal
A_1,A_6,830,Via Principal
A_6,A_7,154,Via Principal
A_1,A_8,400,Via Principal
A_4,A_9,1087,Via Principal
A_9,A_10,438,Via Principal
A_2,A_11,615,Via Principal
A_7,A_12,1500,Via Principal
A_1,A_13,1010,Via Principal
A_6,A_14,221,Via Principal
A_10,A_15,1575,Via Principal
A_5,A_16,731,Via Principal
A_8,A_17,972,Via Principal
A_14,A_18,1072,Via Principal
A_7,A_19,469,Via Principal
A_9,A_20,978,Via Principal
A_10,A_21,609,Via Principal
A_7,A_22,159,Via Principal
A_3,A_23,1362,Via Principal
A_6,A_24,1405,Via Principal
A_12,A_25,1064,Via Principal
A_2,A_26,905,Via Principal
A_24,A_27,564,Via Principal
A_24,A_28,401,Via Principal
A_6,A_29,1037,Via Principal
A_5,A_30,352,Via Principal
A_18,A_31,1455,Via Principal
A_22,A_32,399,Via Principal
A_10,A_33,572,Via Principal
A_27,A_34,297,Via Principal
A_14,A_35,564,Via Principal
A_30,A_36,564,Via Principal
A_34,A_37,475,Via Principal
A_19,A_38,776,Via Principal
A_11,A_39,535,Via Principal
A_33,A_40,836,Via Principal
A_35,A_41,372,Via Principal
A_21,A_42,389,Via Principal
A_24,A_43,246,Via Principal
A_32,A_44,749,Via Principal
A_29,A_45,952,Via Principal
A_4,A_46,476,Via Principal
A_44,A_47,666,Via Principal
A_15,A_48,831,Via Principal
A_42,A_49,687,Via Principal
A_26,A_50,2022,Via Principal
A_4,A_51,607,Via Principal
A_22,A_52,1286,Via Principal
A_21,A_53,1050,Via Principal
A_11,A_54,119,Via Principal
A_52,A_55,461,Via Principal
A_6,A_56,1585,Via Principal
A_2,A_57,157,Via Principal
A_8,A_58,639,Via Principal
A_1,A_59,919,Via Principal
A_34,A_60,1047,Via Principal
A_51,A_61,713,Via Principal
A_57,A_62,541,Via Principal
A_49,A_63,961,Via Principal
A_19,A_64,903,Via Principal
A_13,A_65,821,Via Principal
A_60,A_66,969,Via Principal
A_28,A_67,393,Via Principal
A_34,A_68,629,Via Principal
A_67,A_69,879,Via Principal
A_50,A_70,1534,Via Principal
A_58,A_71,1615,Via Principal
A_20,A_72,893,Via Principal
A_27,A_73,553,Via Principal
A_50,A_74,930,Via Principal
A_27,A_75,518,Via Principal
A_39,A_76,936,Via Principal
A_38,A_77,1019,Via Principal
A_6,A_78,1096,Via Principal
A_51,A_79,501,Via Principal
A_51,A_80,606,Via Principal
A_56,A_81,722,Via Principal
A_26,A_82,1686,Via Principal
A_61,A_83,1394,Via Principal
A_50,A_84,862,Via Principal
A_9,A_85,1697,Via Principal
A_18,A_86,1099,Via Principal
A_32,A_87,1175,Via Principal
A_86,A_88,255,Via Principal
A_56,A_89,751,Via Principal
A_51,A_90,602,Via Principal
A_41,A_91,980,Via Principal
A_16,A_92,454,Via Principal
A_75,A_93,429,Via Principal
A_84,A_94,860,Via Principal
A_8,A_95,848,Via Principal
A_27,A_96,178,Via Principal
A_47,A_97,663,Via Principal
A_30,A_98,827,Via Principal
A_30,A_99,291,Via Principal
A_32,A_100,756,Via Principal
A_66,B_1,915,Via Principal
A_53,B_2,833,Via Principal
A_16,B_3,642,Via Principal
A_53,B_4,615,Via Principal
A_76,B_5,881,Via Principal
A_35,B_6,791,Via Principal
A_18,B_7,1085,Via Principal
A_65,B_8,783,Via Principal
A_89,B_9,262,Via Principal
A_69,B_10,1066,Via Principal
A_31,B_11,517,Via Principal
A_90,B_12,813,Via Principal
A_72,B_13,866,Via Principal
A_12,B_14,337,Via Principal
A_51,B_15,1291,Via Principal
A_38,B_16,564,Via Principal
A_7,B_17,988,Via Principal
A_44,B_18,839,Via Principal
A_52,B_19,323,Via Principal
A_28,B_20,1314,Via Principal
A_97,B_21,711,Via Principal
A_79,B_22,268,Via Principal
A_62,B_23,785,Via Principal
A_36,B_24,1362,Via Principal
A_4,B_25,563,Via Principal
A_14,B_26,382,Via Principal
A_40,B_27,842,Via Principal
A_43,B_28,664,Via Principal
A_33,B_29,673,Via Principal
A_54,B_30,523,Via Principal
A_77,B_31,589,Via Principal
A_95,B_32,748,Via Principal
A_7,B_33,744,Via Principal
A_87,B_34,1378,Via Principal
A_82,B_35,714,Via Principal
A_51,B_36,805,Via Principal
B_21,B_37,1185,Via Principal
A_72,B_38,190,Via Principal
A_11,B_39,1151,Via Principal
A_50,B_40,858,Via Principal
B_38,B_41,307,Via Principal
A_80,B_42,419,Via Principal
A_63,B_43,773,Via Principal
B_3,B_44,1158,Via Principal
A_24,B_45,585,Via Principal
B_35,B_46,288,Via Principal
A_11,B_47,559,Via Principal
A_12,B_48,1321,Via Principal
B_2,B_49,925,Via Principal
A_63,B_50,1171,Via Principal
A_92,B_51,271,Via Principal
B_19,B_52,360,Via Principal
B_52,B_53,954,Via Principal
A_93,B_54,616,Via Principal
A_15,B_55,294,Via Principal
A_81,B_56,302,Via Principal
A_26,B_57,1763,Via Principal
B_50,B_58,973,Via Principal
B_34,B_59,503,Via Principal
A_56,B_60,1117,Via Principal
B_10,B_61,371,Via Principal
A_3,B_62,933,Via Principal
B_29,B_63,459,Via Principal
B_18,B_64,192,Via Principal
A_2,B_65,317,Via Principal
A_67,B_66,677,Via Principal
A_91,B_67,585,Via Principal
B_56,B_68,1307,Via Principal
B_40,B_69,639,Via Principal
B_32,B_70,371,Via Principal
B_16,B_71,568,Via Principal
A_20,B_72,48,Via Principal
A_94,B_73,82,Via Principal
B_49,B_74,614,Via Principal
A_24,B_75,1141,Via Principal
A_79,B_76,405,Via Principal
A_30,B_77,696,Via Principal
B_49,B_78,879,Via Principal
A_53,B_79,1520,Via Principal
B_9,B_80,834,Via Principal
A_69,B_81,378,Via Principal
B_80,B_82,494,Via Principal
